순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,주연 배우,주연 배우 코드,조연 배우,조연 배우 코드,감독 코드
1288,플라이 대디,최종태,다인필름,,"시네마서비스, CJ ENM",2006-08-03,개봉영화,장편,한국,0,0,510604,0,"146,143",드라마,12세관람가,일반영화,"이준기, 이문식","10057469, 10055401","김형일 , 김지훈, 손은경, 김소은, 조현, 이재용, 조성하","10006345, 20111572, 20123970, 10004713, 20139839, 20165044, 10065946",10072725
1293,여고괴담 4 : 목소리,최익환,씨네이천,,시네마서비스,2005-07-15,개봉영화,장편,한국,0,0,508319,0,"136,457",공포(호러),15세관람가,일반영화,"김옥빈, 서지혜, 추현경, 윤영, 최혜윤, 차예련","10005064, 10035631, 10072988, 20114601, 10072904, 10071147","박윤경, 이은, 김정영, 원애리","20132358, 20133956, 20113318, 10052490",10072627
1294,원탁의 천사,권성국,시네마제니스,,쇼박스,2006-08-24,개봉영화,장편,한국,0,0,508285,0,"83,549",코미디,15세관람가,일반영화,"하동훈, 이민우, 김상중, 임하룡","10086728, 10055458, 10004437, 10058890","성유경, 강민주, 손정민, 정한비치, 정시아, 최권, 이한위, 김보연, 안길강, 조달환","20122958, 20122969, 10036912, 20124766, 10061934, 20149353, 10058024, 10004335, 10042830, 10065609",10002397
1297,남자사용설명서,이원석,영화사소풍,,쇼박스,2013-02-14,개봉영화,장편,한국,372,"3,602,049,257",507257,"1,016,134,757","136,010",코미디,15세이상관람가,일반영화,"이시영, 오정세, 이원종","10056359, 10050734, 10056895","박영규, 김정태, 배성우, 김준성, 김민재, 경수진, 김영웅","10028919, 10005617, 20136191, 10005772, 10004210, 20165700, 20196748",20128390
1309,아부의 왕,정승구,황금주전자,,롯데쇼핑롯데엔터테인먼트,2012-06-21,개봉영화,장편,한국,428,"3,511,102,500",497880,"972,557,500","131,766",코미디,15세이상관람가,일반영화,"송새벽, 성동일, 김성령, 고창석, 이병준, 한채아","10037095, 10035832, 10004577, 10001779, 20112263, 20128729","이철민, 김종수, 이윤희","20111927, 20163848, 20224226",10061917
1310,캐치미,이현종,"소넷엔터테인먼트, 스튜디오 산타클로스엔터테인먼트",,롯데쇼핑롯데엔터테인먼트,2013-12-18,개봉영화,장편,한국,517,"3,387,483,000",492773,"956,243,500","131,932",코미디,12세이상관람가,일반영화,"김아중, 주원","10004885, 20112931","강남현, 김영주, 배성우, 강덕중","20129251, 20164037, 20136191, 20335697",10058117
1311,무서운 이야기 2,"김성호, 김휘, 정범식, 민규동","수필름, 데이지엔터테인먼트",,롯데쇼핑롯데엔터테인먼트,2013-06-05,개봉영화,옴니버스,한국,337,"3,375,472,500",492465,"766,405,500","105,175",미스터리,15세이상관람가,일반영화,"박성웅, 이세영, 성준, 이수혁, 백진희, 김슬기, 정인선, 고경표, 김지원","10028773, 10056083, 10029949, 20111011, 10030386, 20171140, 10062138, 20136885, 20112261",우혜진,20189890,"10004652, 10003489, 10061758, 10027774"
1312,불량남녀,신근호,"트라이앵글픽쳐스, 비오비시네마",,쇼박스,2010-11-04,개봉영화,장편,한국,345,"3,619,026,909",491207,"925,175,000","119,059",코미디,15세이상관람가,일반영화,"임창정, 엄지원, 임효우, 하은설","10058849, 10047357, 20141377, 20191026","이영란, 허서영, 정은우, 조덕현, 김사희","10056645, 20123991, 20133633, 10065617, 20213326",10040268
1316,또 하나의 약속,김태윤,"또하나의가족 제작위원회, 에이트볼픽쳐스",,영화사올,2014-02-06,개봉영화,장편,한국,192,"3,470,184,400",489409,"895,346,100","117,256",드라마,12세이상관람가,일반영화,"박철민, 김규리, 윤유선, 박희정, 유세형","20110935, 20112163, 10054440, 20183927, 20183928","이경영, 정진영, 김영재, 김선영, 강진아","10054755, 10062279, 10005012, 20150459, 20238069",10006129
1318,아들,장진,"필름있수다, 시네마서비스글로벌",,시네마서비스,2007-05-01,개봉영화,장편,한국,0,0,488221,0,"140,782",드라마,전체관람가,일반영화,"차승원, 류덕환, 김지영, 이상훈","10071140, 10019043, 10005840, 20199569","유해진, 이한위","10054128, 10058024",10060535
1320,침묵,정지우,용필름,,씨제이이엔엠,2017-11-02,개봉영화,장편,한국,634,"3,873,542,364",487897,"1,140,873,764","139,002",드라마,15세이상관람가,일반영화,"최민식, 박신혜, 류준열","10072251, 10028892, 20208626","이하늬, 박해준, 조한철, 이수경","20125825, 20161741, 10067417, 20195643",10062256
1322,해어화,박흥식,더램프,,롯데쇼핑롯데엔터테인먼트,2016-04-13,개봉영화,장편,한국,572,"3,763,852,759",485083,"1,147,859,410","143,843",사극,15세이상관람가,일반영화,"한효주, 유연석, 천우희, 박성웅","10087820, 20111976, 20133966, 10028773","장영남, 이한위, 류혜영, 김수안, 장인섭","10060331, 10058024, 20113462, 20153744, 20232726",20110989
1324,...ing,이언희,드림맥스,,튜브엔터테인먼트,2003-11-28,개봉영화,장편,한국,0,,483828,,"159,396",드라마,12세관람가,일반영화,"임수정, 김래원, 이미숙, 김지영, 김현수","10058646, 10004028, 20111403, 10005840, 10006272","이성경, 최덕문","20155168, 10072168",10056602
1325,천년여우 여우비,이성강,"선우애니메이션, 옐로우필름",,CJ ENM,2007-01-25,개봉영화,장편,한국,0,0,482988,0,"109,866",애니메이션,전체관람가,일반영화,"손예진, 공형진, 류덕환, 최도영","10036883, 10001915, 10019043, 10072173",,,10055997
1327,계춘할망,창,"지오엔터테인먼트, 퍼플켓츠필름, 빅스토리픽쳐스",,콘텐츠 난다긴다,2016-05-19,개봉영화,장편,한국,526,"3,589,317,348",480987,"848,101,748","109,124",가족,15세이상관람가,일반영화,"윤여정, 김고은, 김희원","10054391, 20125838, 10006545","신은정, 최민호, 류준열, 양익준, 박민지, 남태부","20132741, 20209286, 20208626, 10047036, 10028642, 20189237",10071587
1328,소녀괴담,오인천,"고스트픽처스, 주피터필름",,리틀빅픽쳐스,2014-07-02,개봉영화,장편,한국,455,"3,546,340,054",480528,"707,926,554","92,017",미스터리,15세이상관람가,일반영화,"강하늘, 김소은","20111688, 10004713","김정태, 한혜린, 박두식, 이아현, 전소연, 이승현, 김재화, 박충선, 주민하, 이봄, 한태린","10005617, 20156884, 20188686, 10056460, 20193712, 20195896, 10005532, 10029425, 10069019, 20270880, 20332372",20188088
1329,조선미녀삼총사,박제현,웰메이드필름,,쇼박스,2014-01-29,개봉영화,장편,한국,388,"3,471,341,321",480361,"742,552,321","98,335",코미디,12세이상관람가,일반영화,"하지원, 강예원, 가인, 고창석, 주상욱, 최성민","10087280, 20066563, 20121473, 10001779, 10069038, 20154690","박동빈, 하용진, 강민호, 이유준","20166242, 20236847, 20122836, 20164087",10029209
1332,친정엄마,유성엽,"동아수출공사, 아일랜드픽처스",,싸이더스,2010-04-22,개봉영화,장편,한국,276,"3,367,901,082",478822,"956,688,000","129,750",드라마,전체관람가,일반영화,"김해숙, 박진희","10006221, 20110927","정현주, 조영진","20123440, 10066710",20111312
1333,넛잡: 땅콩 도둑들,피터 레페니오티스,"레드로버, 툰박스 엔터테인먼트",,싸이더스,2014-01-29,개봉영화,장편,한국,382,"3,280,608,100",478392,"796,865,300","109,813",애니메이션,전체관람가,일반영화,"윌 아넷, 브렌든 프레이저, 리암 니슨, 캐서린 헤이글, 싸이","10052972, 10032261, 10019770, 10074936, 10040941",,,20111790
1336,"로봇, 소리",이호재,"영화사 좋은날, 디씨지플러스",,롯데쇼핑롯데엔터테인먼트,2016-01-27,개봉영화,장편,한국,609,"3,519,595,560",476665,"951,166,060","126,118",드라마,12세이상관람가,일반영화,"이성민, 이희준, 이하늬, 김원해, 채수빈, 심은경","20110148, 10058320, 20125825, 20189746, 20210306, 10040874","곽시양, 이영진, 전국환, 류준열","20187987, 10056688, 10061228, 20208626",10058219
1340,변산,이준익,변산문화산업전문(유),,메가박스중앙플러스엠,2018-07-04,개봉영화,장편,한국,763,"3,886,052,473",474137,"1,063,654,573","126,389",드라마,15세이상관람가,일반영화,"박정민, 김고은","20110693, 20125838","장항선, 고준, 신현빈, 정규수, 김준한, 배제기, 최정헌, 한별, 김형주, 강현구, 류성현, 임성재","10060605, 20166024, 20110901, 10061614, 20212660, 20100604, 20305209, 20305210, 20305211, 20218482, 10019055, 20314392",10057485
